,text,embeddings,distances
0,01 January - ISRO successfully launches its first X-Ray polarimeter satellite XPoSat to study the polarization of intense X-Ray sources in space.,"[-0.01012004  0.00708768 -0.00838726 ... -0.00786012  0.01422756
  0.01669102]",0.39372415797438554
1,02 January - 2023–2024 Indian truckers' protests: Protests are organized by Indian truckers against the severity of the newly proposed law in dealing with the hit-and-run cases.,"[ 0.01802976 -0.01537439  0.07256533 ...  0.02293886 -0.01474959
 -0.01599918]",0.7939955786296167
2,03 January - A court in Jaunpur sentences two men to death over the 2005 Jaunpur train bombing which killed 14 people.,"[ 0.01140594  0.02266659  0.02984849 ... -0.01190411  0.01903412
  0.01333634]",0.8602189607885123
3,03 January - A bus carrying 45 passengers collides with a truck in Golaghat district in Assam killing 12 and injuring 30 others.,[0.01869522 0.02052847 0.05156625 ... 0.02011672 0.00073894 0.02166567],0.8428829066475487
4,"05 January - 2024 Sandeshkhali violence: A team of ED officers are injured in clashes with local supporters of Shahjahan Sheikh in Sandeshkhali, West Bengal.","[ 0.04931762 -0.02173202  0.07545134 ...  0.00575276 -0.00799683
 -0.00773757]",0.8836723744897649
5,"06 January - ISRO's Aditya-L1 spacecraft on India's first solar mission, successfully enters its final orbit around the first Sun-Earth Lagrangian point (L1), approximately 1.5 million kilometers from the earth.","[ 0.01895185 -0.02676057  0.06545259 ...  0.03986387 -0.01048264
  0.03468646]",0.48271209918002644
6,"06 January - Three Maldives government ministers (Maryam Shiuna, Malsha Shareef and Mahzoom Majid) make derogatory remarks against the Indian Prime Minister on social media, causing massive backlash and tourism boycott in India, and triggering the 2024 India-Maldives diplomatic row, which forced the Maldivian government to suspend the ministers.","[ 0.00875323  0.02460058  0.06663898 ...  0.01572149 -0.01290673
  0.01292961]",0.8103202488314389
7,"07 January - Tribal protests are held in Hasdeo Arand, Chhattisgarh against the felling of four lakh trees at the Parsa Coal Mines, operated by Adani Group and Rajasthan Rajya Vidyut Utpadan Nigam.","[ 0.03300512 -0.00259901  0.07730088 ...  0.02555952 -0.00572867
 -0.01864734]",0.8505607979950223
8,"12 January - Prime Minister Modi inaugurates Mumbai Trans Harbour Link, the longest bridge in India that connects Mumbai with Navi Mumbai.",[0.02834832 0.03050586 0.04495206 ... 0.02459606 0.02215709 0.01119111],0.7609222747732536
9,"14 January - Rahul Gandhi commences his Bharat Jodo Nyay Yatra from Imphal, Manipur.","[ 0.03281512  0.03915754  0.01466817 ...  0.01258938 -0.01250454
 -0.00996439]",0.7956239542296365
10,22 January - Ram Mandir Prana Pratishtha: The Ram Mandir at Ayodhya in Uttar Pradesh is inaugurated by Prime Minister Narendra Modi.,"[ 0.02633763  0.0354748  -0.0299925  ...  0.01929166  0.01492089
 -0.01345141]",0.7462432862077867
11,25 January - French President Emmanuel Macron arrives in Jaipur as part of his two-day state visit to India and holds a joint roadshow with Indian Prime Minister Modi from Jantar Mantar to Sanganeri gate.,"[ 0.02654435  0.02781914 -0.00089762 ... -0.03421363 -0.00348767
 -0.01947134]",0.8816337668543613
12,26 January - India's 75th Republic Day is celebrated with French President Macron participating as the Chief Guest.,"[-0.00286316  0.04156606  0.00993264 ... -0.03860252  0.00133001
 -0.01945421]",0.8352762681447864
13,"28 January - 2024 Bihar political crisis: Chief Minister of Bihar Nitish Kumar resigns, ending the coalition with the INDIA bloc and takes oath as the Chief Minister for the ninth time by joining the Bharatiya Janata Party (BJP)-led NDA.","[ 0.0045738   0.01514762  0.04662321 ... -0.01337712 -0.05539703
 -0.00562134]",0.8613786051333303
14,"29 January - An 18 year old JEE aspirant dies by suicide in Kota, Rajasthan leaving behind a suicide note.","[-0.00052802  0.01125096  0.0198086  ... -0.01039347  0.01940575
  0.02891295]",0.8289017354153443
15,30 January - Three Central Reserve Police Force (CRPF) personnel are killed and 14 others injured in a Naxal attack near Tekalgudem village in Chhattisgarh.,"[ 0.02201063  0.0434024   0.05119998 ... -0.0183697  -0.00099533
  0.01941144]",0.8217412005522107
16,"30 January - The historic Masjid Akhonji in Mehrauli, Delhi, is demolished by the Delhi Development Authority.","[ 0.05859796  0.01042209  0.03047012 ... -0.02496372  0.0166322
 -0.03287403]",0.8495358988002545
